Distance	Thickness	Surface elevation	Elevation of ice base	Bed elevation	Width
0	488.696	493.696	5	5	10000
475.083	488.057	493.057	5	5	10000
950.166	486.411	491.411	5	5	10000
1425.249	484.478	489.478	5	5	10000
1900.332	482.356	487.356	5	5	10000
2375.415	480.088	485.088	5	5	10000
2850.498	477.586	482.586	5	5	10000
3325.581	475.016	480.016	5	5	10000
3800.664	472.363	477.363	5	5	10000
4275.747	469.604	474.604	5	5	10000
4750.83	466.7	471.7	5	5	10000
5225.913	463.637	468.637	5	5	10000
5700.996	460.425	465.425	5	5	10000
6176.079	457.092	462.092	5	5	10000
6651.162	453.706	458.706	5	5	10000
7126.245	450.273	455.273	5	5	10000
7601.328	446.767	451.767	5	5	10000
8076.411	443.161	448.161	5	5	10000
8551.494	439.464	444.464	5	5	10000
9026.576	435.677	440.677	5	5	10000
9501.659	431.765	436.765	5	5	10000
9976.742	427.707	432.707	5	5	10000
10451.825	423.534	428.534	5	5	10000
10926.908	419.259	424.259	5	5	10000
11401.991	414.881	419.881	5	5	10000
11877.074	410.404	415.404	5	5	10000
12352.157	405.855	410.855	5	5	10000
12827.24	401.256	406.256	5	5	10000
13302.323	396.632	401.632	5	5	10000
13777.406	391.892	396.892	5	5	10000
14252.489	387.016	392.016	5	5	10000
14727.572	382.026	387.026	5	5	10000
15202.655	376.929	381.929	5	5	10000
15677.738	371.723	376.723	5	5	10000
16152.821	366.417	371.417	5	5	10000
16627.904	360.999	365.999	5	5	10000
17102.987	355.439	360.439	5	5	10000
17578.07	349.771	354.771	5	5	10000
18053.153	344.017	349.017	5	5	10000
18528.236	338.177	343.177	5	5	10000
19003.319	332.185	337.185	5	5	10000
19478.402	326.022	331.022	5	5	10000
19953.485	319.741	324.741	5	5	10000
20428.568	313.388	318.388	5	5	10000
20903.651	306.947	311.947	5	5	10000
21378.734	300.384	305.384	5	5	10000
21853.817	293.663	298.663	5	5	10000
22328.9	286.747	291.747	5	5	10000
22803.983	279.585	284.585	5	5	10000
23279.066	272.123	277.123	5	5	10000
23754.149	264.329	269.329	5	5	10000
24229.232	256.225	261.225	5	5	10000
24704.315	247.884	252.884	5	5	10000
25179.398	239.289	244.288	4.999	4.999	10000
25654.481	230.312	235.315	5.003	5.003	10000
26129.564	220.935	225.925	4.99	4.99	10000
26604.647	210.805	215.838	5.033	5.033	10000
27079.729	200.648	205.54	4.892	4.892	10000
27554.812	187.993	193.33	5.337	5.337	10000
28029.895	180.298	178.716	-1.582	-1.582	10000
28504.978	174.295	164.152	-10.143	-10.143	10000
28980.061	168.436	149.782	-18.654	-18.654	10000
29455.144	162.422	135.243	-27.179	-27.179	10000
29930.227	155.926	120.261	-35.665	-35.665	10000
30405.31	149.341	105.178	-44.164	-44.164	10000
30880.393	142.384	89.725	-52.659	-52.659	10000
31355.476	135.268	74.103	-61.165	-61.165	10000
31830.559	127.52	57.845	-69.675	-69.675	10000
32305.642	119.559	41.385	-78.174	-78.174	10000
32780.725	110.844	24.189	-86.655	-86.655	10000
33255.808	103.178	12.847	-95.153	-95.153	10000
33730.891	97.23	12.106	-103.672	-103.672	10000
34205.974	89.381	11.129	-112.195	-112.195	10000
34681.057	81.437	10.14	-120.692	-120.692	10000
35156.14	71.59	8.914	-129.19	-129.19	10000
35631.223	0	-137.677	-137.677	-137.677	10000
36106.306	0	-146.177	-146.177	-146.177	10000
36581.389	0	-154.691	-154.691	-154.691	10000
37056.472	0	-163.19	-163.19	-163.19	10000
37531.555	0	-171.676	-171.676	-171.676	10000
38006.638	0	-180.178	-180.178	-180.178	10000
38481.721	0	-188.691	-188.691	-188.691	10000
38956.804	0	-197.195	-197.195	-197.195	10000
39431.887	0	-205.696	-205.696	-205.696	10000
39906.97	0	-214.193	-214.193	-214.193	10000
40382.053	0	-222.711	-222.711	-222.711	10000
40857.136	0	-231.215	-231.215	-231.215	10000
41332.219	0	-239.724	-239.724	-239.724	10000
41807.302	0	-248.21	-248.21	-248.21	10000
42282.385	0	-256.695	-256.695	-256.695	10000
42757.468	0	-265.224	-265.224	-265.224	10000
43232.551	0	-273.736	-273.736	-273.736	10000
43707.634	0	-282.236	-282.236	-282.236	10000
44182.717	0	-290.736	-290.736	-290.736	10000
44657.8	0	-299.235	-299.235	-299.235	10000
45132.882	0	-307.717	-307.717	-307.717	10000
45607.965	0	-316.229	-316.229	-316.229	10000
46083.048	0	-324.738	-324.738	-324.738	10000
46558.131	0	-333.237	-333.237	-333.237	10000
47033.214	0	-341.738	-341.738	-341.738	10000
47508.297	0	-350.25	-350.25	-350.25	10000
47983.38	0	-358.756	-358.756	-358.756	10000
48458.463	0	-367.245	-367.245	-367.245	10000
48933.546	0	-375.738	-375.738	-375.738	10000
49408.629	0	-384.239	-384.239	-384.239	10000
49883.712	0	-392.738	-392.738	-392.738	10000
50358.795	0	-401.238	-401.238	-401.238	10000
50833.878	0	-409.738	-409.738	-409.738	10000
51308.961	0	-418.236	-418.236	-418.236	10000
51784.044	0	-426.731	-426.731	-426.731	10000
